Calculating time of sequentially reading 100000 512-byte blocks and checking each block for JPEG signature.
Start time, Finish time (in process timer ticks):
-------------
231254,299610

Calculating time of 1000 random block accesses. For each block a LIBLINEAR test for JPEG data is included into the timing.
Distance jumped (+/-), start time, finish time (in process timer ticks):
-6130481,98126398,98139397
14083197,98139420,98278568
-4109389,98278584,98287098
22022146,98287116,98498468
-25356562,98498476,98522497
30816752,98522520,98821124
26222407,98821146,99112677
-36559922,99112699,99154067
-26940232,99154106,99185801
61939916,99185818,99826596
-32609218,99826646,99863980
9011246,99864002,99967076
23210219,99967093,100223037
-59934578,100223054,100285953
11638790,100285976,100413156
3685841,100413178,100454556
34403537,100454574,100796395
-52738645,100796413,100853222
38393817,100853262,101228134
-11649837,101228151,101245332
-7075382,101245355,101258542
-5437659,101258565,101269381
-6153142,101269392,101276276
49688424,101276315,101788174
-31450508,101788190,101825028
-14464819,101825050,101846615
6454357,101846637,101919481
40503601,101919503,102324974
606330,102324996,102337405
-53422962,102337423,102393861
12072716,102393879,102512003
-8224146,102512027,102526148
53077727,102526172,103050870
-32601925,103050891,103088046
12853607,103088063,103229825
-26791438,103229847,103261715
23898229,103261737,103497876
-27845268,103497899,103530372
44508267,103530391,103971965
-32596684,103971982,104009443
37392796,104009465,104401505
-62370921,104401529,104466955
37911413,104466977,104830698
17828709,104830721,105030068
-12167743,105030086,105047883
-3394762,105047906,105055474
-15852769,105055491,105076262
7114930,105076279,105149174
-11671793,105149197,105166648
38701945,105166670,105562237
-37186449,105562259,105603649
-8007098,105603671,105617734
-2441376,105617757,105623649
8582960,105623666,105726507
17288933,105726516,105908409
-30979116,105908448,105944221
22970061,105944242,106188489
-7549446,106188512,106202744
32627082,106202766,106545361
9099200,106545383,106643922
-36707251,106643945,106685349
-21115248,106685372,106711827
20574888,106711850,106918339
7121162,106918362,106991282
13316368,106991303,107132187
-41332788,107132225,107185435
52556740,107185458,107728314
666139,107728332,107741005
-40596446,107741045,107786477
38977566,107786500,108180850
-37106190,108180890,108222030
12967565,108222053,108349175
-7589872,108349198,108362833
31686405,108362852,108682366
-20858786,108682385,108708590
-27581870,108708615,108741029
22055625,108741050,108952977
-689507,108952995,108955163
30288846,108955176,109269784
-50112491,109269806,109323321
1676133,109323342,109345501
41064840,109345516,109750154
4392639,109750176,109801129
-41991063,109801169,109847254
-3837327,109847272,109855313
20285838,109855336,110050422
3194118,110050443,110094464
8704143,110094486,110189443
21366471,110189466,110411955
-15759996,110411964,110426940
-5218213,110426980,110437415
-29753234,110437438,110472019
35162876,110472043,110817779
-28238007,110817795,110850100
13310100,110850122,110981182
-625036,110981203,110983196
-8377667,110983219,110997749
38479416,110997771,111413318
-39217319,111413333,111456005
27099682,111456027,111761198
-25709043,111761227,111793323
5558276,111793346,111851097
-18220845,111851118,111874873
51296825,111874893,112411659
-20996625,112411681,112437894
-37312257,112437916,112479337
28375163,112479357,112751471
-14519978,112751489,112771405
388834,112771429,112779709
37497305,112779731,113155520
6027549,113155560,113222946
-39830350,113222964,113266587
25359567,113266602,113535878
14657778,113535900,113695789
-19175774,113695813,113720535
-40924973,113720553,113767566
20999828,113767583,113975072
24245110,113975101,114220638
-19767683,114220693,114245599
-22706390,114245622,114273457
-6444968,114273479,114285658
-295849,114285682,114286818
18955769,114286859,114469686
30022765,114469708,114768341
-28145495,114768359,114795010
-5086505,114795028,114805199
36918391,114805221,115171079
-1576510,115171087,115172854
-9661590,115172877,115188362
14714004,115188417,115343654
-8569193,115343676,115358173
-8899301,115358190,115366738
20757405,115366747,115576644
-53467437,115576685,115627503
47880659,115627525,116095706
1998632,116095722,116122188
-33968599,116122211,116160390
-17446801,116160410,116183604
58698196,116183627,116774637
-11859293,116774660,116792211
12187593,116792227,116921979
-38201077,116922002,116964602
13071200,116964625,117096805
14903756,117096827,117261673
-18867948,117261696,117285772
14301432,117285790,117440802
-32993912,117440824,117478316
6009480,117478325,117534634
-14046698,117534652,117554414
47262897,117554430,118029642
-3455010,118029682,118037220
-20532552,118037243,118063253
-30341739,118063274,118098491
28623673,118098513,118384762
-11233858,118384784,118401922
11663491,118401942,118527497
-3179858,118527520,118534837
27449019,118534860,118848910
-1460653,118848950,118852767
-21490826,118852784,118879453
11339695,118879494,119001637
21594045,119001661,119226038
-63875666,119226100,119301326
23520083,119301350,119532171
31243997,119532186,119858811
-53390281,119858827,119915467
38396631,119915490,120298606
-34608577,120298626,120337548
37468496,120337577,120706700
-28288054,120706718,120739559
-4953531,120739584,120749712
34597445,120749728,121095180
12359244,121095203,121226753
-20439250,121226777,121252526
10224553,121252550,121366070
-9275365,121366088,121381017
8900762,121381039,121483629
5474457,121483636,121539156
224983,121539167,121541857
-37016731,121541875,121582390
-4909689,121582412,121592452
27705032,121592472,121867480
-18125640,121867503,121891315
11800419,121891338,122010124
-24368410,122010147,122039758
21340922,122039775,122253675
-16439293,122253694,122274464
46124486,122274481,122756276
-10614684,122756299,122772646
-23835600,122772668,122801866
-18409474,122801888,122826806
34807143,122826815,123155342
-8383189,123155383,123169519
24286306,123169537,123425632
-25363295,123425649,123455744
162951,123455784,123459962
16457036,123459984,123636958
-20548262,123636980,123662887
-23426167,123662910,123692012
51433651,123692036,124207439
-968791,124207462,124210321
-52592724,124210342,124266725
4155,124266747,124267160
30794971,124267182,124573248
195732,124573266,124578082
6561456,124578105,124649781
25855852,124649804,124917676
-31299160,124917699,124953428
-31357614,124953451,124989445
-256131,124989455,124989846
57073545,124989856,125557099
2849554,125557120,125592648
-19509001,125592671,125617745
-33035361,125617767,125655216
27452272,125655224,125920277
29782166,125920295,126234606
-44525466,126234629,126283422
