Calculating time of sequentially reading 100000 512-byte blocks and checking each block for JPEG signature.
Start time, Finish time (in process timer ticks):
------------------
210352,279323

Calculating time of 1000 random block accesses. For each block a LIBLINEAR test for JPEG data is included into the timing.
Distance jumped (+/-), start time, finish time (in process timer ticks):
29090337,77509721,77836272
-30431125,77836311,77871586
8150808,77871637,77967838
-36346287,77967859,78009030
2878732,78009052,78046007
54416991,78046030,78602135
-49866403,78602158,78655457
-4012530,78655475,78663796
53854221,78663814,79218535
-39807199,79218551,79262576
40920470,79262593,79701904
-44850627,79701944,79750822
5202808,79750843,79809471
33410766,79809494,80161695
5143085,80161717,80220760
-61077081,80220782,80285094
51621208,80285101,80803696
-37581654,80803717,80845676
6864239,80845694,80916400
25863245,80916422,81183791
-2345747,81183814,81189499
-32687700,81189523,81226827
39678808,81226868,81618204
-23442506,81618221,81646742
-10221926,81646783,81662838
10496654,81662857,81767721
18104657,81767739,81975265
7938335,81975288,82062214
-55535939,82062237,82121547
56498713,82121554,82689853
-16979226,82689884,82712397
16911911,82712417,82896344
-27122338,82896361,82927930
10106099,82927947,83040373
-10417300,83040396,83056589
-20724504,83056613,83082618
-6242425,83082640,83094452
41523937,83094460,83510448
-27660940,83510465,83542944
-1766864,83542968,83547530
37941640,83547569,83929555
-14376351,83929578,83949541
5951644,83949559,84016217
-25527530,84016241,84046609
45232460,84046625,84518067
-2324664,84518086,84523639
-52422589,84523662,84579892
12842081,84579904,84713740
31483190,84713763,85036051
-21602838,85036096,85062914
17538208,85062935,85251708
-13697722,85251719,85264966
5790248,85264988,85330365
-2457670,85330388,85336324
19075255,85336346,85535553
-42359712,85535576,85582175
9676524,85582209,85684770
12750481,85684809,85813802
13915573,85813824,85960450
-51167000,85960469,86014393
43227661,86014401,86425187
-15143207,86425205,86439830
26812918,86439853,86714132
2616291,86714173,86746916
-55293178,86746939,86811691
16669347,86811714,86972775
14880088,86972784,87112904
20967144,87112922,87330762
-10513401,87330784,87347101
-1833922,87347111,87349023
12490177,87349045,87482792
-47623945,87482813,87534162
45488126,87534183,87988775
5854928,87988798,88054412
2504426,88054430,88085793
-38239861,88085816,88128297
-2125251,88128315,88133418
-1279163,88133440,88136928
-10664060,88136951,88153225
13785801,88153243,88289747
22254557,88289768,88516749
20077319,88516771,88738026
-58832408,88738049,88799908
58596306,88799925,89407987
-54041074,89408008,89466440
28059562,89466458,89757820
-22036006,89757838,89784973
-7427470,89784996,89798580
1555119,89798592,89819706
48189191,89819729,90324378
-23455292,90324399,90352960
5721368,90352982,90417135
2821729,90417158,90452115
20713030,90452138,90667575
-37732311,90667584,90703357
23116579,90703365,90932946
-28142826,90932970,90966193
-6512992,90966216,90978582
48909031,90978603,91466029
-22275524,91466051,91493498
-12862661,91493521,91512069
-18902142,91512079,91530503
43379421,91530527,91970366
-49619702,91970389,92025046
59738963,92025069,92636751
-41819843,92636772,92682702
28374113,92682723,92975229
-17098482,92975270,92997785
-21139590,92997808,93024264
28466464,93024281,93302272
-1977654,93302290,93306801
-9284542,93306825,93321901
-29959657,93321923,93356543
49078771,93356549,93826195
-23838866,93826213,93854903
17051853,93854942,94028023
13461581,94028045,94183999
-36437014,94184021,94224880
-7262630,94224920,94238100
145207,94238122,94241996
34310952,94242038,94585577
-2616505,94585600,94591889
-26918664,94591912,94623798
31417659,94623822,94943925
-47036115,94943933,94988419
1704577,94988425,95004118
4022755,95004119,95042279
47743716,95042321,95510478
-20534537,95510500,95536815
29381353,95536837,95864521
-40801052,95864545,95910106
36548407,95910129,96284296
-17723591,96284320,96307373
-31882087,96307395,96343861
13460845,96343871,96475883
-5876266,96475907,96487412
5099419,96487422,96535070
5073406,96535089,96589028
488247,96589068,96598840
